BANK,IFSC,MICR CODE,BRANCH,CITY,DISTRICT,STATE
SBI,SBIN0000186,843002003,SITAMARHI,SITAMARHI,SITAMARHI,BIHAR
SBI,SBIN0000187,841002202,SIWAN,SIWAN,SIWAN,BIHAR
SBI,SBIN0000188,228002001,SULTANPUR,SULTANPUR,SULTANPUR,UTTAR PRADESH
SBI,SBIN0000189,770002002,SUNDARGARH,SUNDARGARH,SURENDRANAGAR,ODISHA
SBI,SBIN0000190,852002102,SUPAUL,SUPAUL,SUPAUL,BIHAR
SBI,SBIN0000191,731002302,SURI,SURI,BIRBHUM,WEST BENGAL
SBI,SBIN0000192,759002003,TALCHER,TALCHER,DHENKANAL,ODISHA
SBI,SBIN0000193,721002202,TAMLUK,TAMLUK,PURBA MEDINIPUR,WEST BENGAL
SBI,SBIN0000194,224002019,TANDA,TANDA,AMBEDKARNAGAR,UTTAR PRADESH
SBI,SBIN0000195,784002002,TEZPUR,TEZPUR,SONITPUR,ASSAM
SBI,SBIN0000196,786002202,TINSUKIA,TINSUKIA,TINSUKIA,ASSAM
SBI,SBIN0000197,767002005,TITILAGARH,TITLAGARH,BALANGIR,ODISHA
SBI,SBIN0000198,794002002,TURA,TURA,WEST GARO HILLS,MEGHALAYA
SBI,SBIN0000199,700002243,ULUBERIA,ULUBERIA,HOWRAH,WEST BENGAL
SBI,SBIN0000200,209002075,UNNAO,UNNAO,UNNAV,UTTAR PRADESH
SBI,SBIN0000201,221002002,VARANASI,VARANASI,VARANASI,UTTAR PRADESH
SBI,SBIN0000202,721002103,KHARAGPUR,MIDNAPORE,PURBA MEDINIPUR,WEST BENGAL
SBI,SBIN0000203,854002202,KATIHAR,KATIHAR,KATIHAR,BIHAR
SBI,SBIN0000204,275002002,GHOSI,GHOSI,MAU,UTTAR PRADESH
SBI,SBIN0000205,700002071,NEW ALIPORE,KOLKATA,KOLKATA,WEST BENGAL
SBI,SBIN0000206,210002003,RATH,RATH,HAMIRPUR,UTTAR PRADESH
SBI,SBIN0000207,834002004,HATIA,RANCHI,RANCHI,JHARKHAND
SBI,SBIN0000208,230002012,KUNDA,KUNDA,PRATAPGARH,UTTAR PRADESH
SBI,SBIN0000209,736002502,DINHATA,KOCH BEHAR,COOCHBEHAR,WEST BENGAL
SBI,SBIN0000210,273002064,PHARENDA,PHARENDA,MAHARAJGANJ,UTTAR PRADESH
SBI,SBIN0000211,221002003,BHU,VARANASI,VARANASI,VARANASI,UTTAR PRADESH
SBI,SBIN0000212,834002003,DORANDA,RANCHI,RANCHI,JHARKHAND
SBI,SBIN0000213,815002102,JAMTARA,JAMTARA,JAMTARA,JHARKHAND
SBI,SBIN0000214,797002102,KOHIMA,KOHIMA,KOHIMA,NAGALAND
SBI,SBIN0000215,225002003,FATEHPUR,BARA BANKI,BARABANKI,UTTAR PRADESH
SBI,SBIN0000216,799002202,UDAIPUR,RADHAKISHOREPUR,UDAIPUR,RAJASTHAN
SBI,SBIN0000217,208002030,SWAROOP NAGAR KANPUR,KANPUR,LUCKNOW,UTTAR PRADESH
SBI,SBIN0000218,741002602,FARAKKA,MURSHIDABAD,MURSHIDABAD,WEST BENGAL
SBI,SBIN0000219,208002066,IND ESTATE KANPUR,KANPUR,KANPUR NAGAR,UTTAR PRADESH
SBI,SBIN0000220,208002013,JAJMAU KANPUR,KANPUR,KANPUR NAGAR,UTTAR PRADESH
SBI,SBIN0000221,781002003,NEW GUWAHATI,GUWAHATI,KAMRUP,ASSAM
SBI,SBIN0000222,754002001,BANKI,BANKI,CUTTACK,ODISHA
SBI,SBIN0000223,786002102,NAMRUP,NAMRUP,DIBRUGARH,ASSAM
SBI,SBIN0000224,209002020,BHOGNIPUR,KANPUR,MEERUT,UTTAR PRADESH
SBI,SBIN0000225,700002502,TRIBENI, HOOGHLY,HOOGLY,HOOGHLY,WEST BENGAL
SBI,SBIN0000226,222002012,MARIAHU,JAUNPUR,JAUNPUR,UTTAR PRADESH
SBI,SBIN0000227,832002509,JADUGODA,JADUGODA,PURBI SINGHBHUM,JHARKHAND
SBI,SBIN0000228,721002701,GHATAL,GHATAL,PURBA MEDINIPUR,WEST BENGAL
SBI,SBIN0000229,781002004,MALIGAON,GUWAHATI,KAMRUP,ASSAM
SBI,SBIN0000230,835002102,GUMLA,GUMLA,GUMLA,JHARKHAND
SBI,SBIN0000231,713002091,RANIGANJ,RANIGANJ,MALDA,WEST BENGAL
SBI,SBIN0000232,737002002,GANTOK,GANGTOK,EAST SIKKIM,SIKKIM
SBI,SBIN0000233,232002005,CHAKIA,CHANDAULI,CHANDAULI,UTTAR PRADESH
SBI,SBIN0000234,759002103,ATHMALLIK,ANGUL,ANGUL,ODISHA
SBI,SBIN0000235,759002007,KAMAKHYANAGAR,KAMAKHYANAGAR,DHENKANAL,ODISHA
SBI,SBIN0000236,285002006,KALPI,KALPI,JALAUN,UTTAR PRADESH
SBI,SBIN0000237,741002603,KANDI,KANDI,MURSHIDABAD,WEST BENGAL
SBI,SBIN0000238,768002021,JHARSUGUDA,JHARSUGUDA,JHARSUGUDA,ODISHA
SBI,SBIN0000239,225002005,RAMSANEHI GHAT,BARABANKI,BARABANKI,UTTAR PRADESH
SBI,SBIN0000240,230002002,PATTI,PATTI,PRATAPGARH,UTTAR PRADESH
SBI,SBIN0000241,713002701,CHITTARANJAN,CHITTARANJAN,BARDHAMAN,WEST BENGAL
SBI,SBIN0000242,208002026,PHOOLBAGH,KANPUR,KANPUR NAGAR,UTTAR PRADESH
SBI,SBIN0000243,813002002,BANKA,BANKA,BANKA,BIHAR
SBI,SBIN0000244,276002012,PHOOLPUR,PHULPUR,AZAMGARH,UTTAR PRADESH
SBI,SBIN0000245,733002601,ISLAMPUR,ISLAMPUR,UTTAR DINAJPUR,WEST BENGAL
SBI,SBIN0000246,827002002,BOKARO STEEL CITY,BOKARO,BOKARO,JHARKHAND
